# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YDR438W_YML018C
1.130000000000000000e+02 1.190000000000000000e+02 3.820000000000000000e+02 1.410000000000000000e+02 1.860000000000000000e+02 3.190000000000000000e+02 1.570000000000000000e+02 3.070000000000000000e+02 1.980000000000000000e+02 3.320000000000000000e+02 4.130000000000000000e+02 2.550000000000000000e+02 2.800000000000000000e+02 1.430000000000000000e+02 1.340000000000000000e+02 6.670000000000000000e+02 1.840000000000000000e+02 1.090000000000000000e+02 1.600000000000000000e+02 1.330000000000000000e+02 1.640000000000000000e+02 8.370000000000000000e+02 6.800000000000000000e+02 2.850000000000000000e+02 2.690000000000000000e+02 1.370000000000000000e+02 1.131000000000000000e+03 3.770000000000000000e+02 1.080000000000000000e+02 1.980000000000000000e+02 1.990000000000000000e+02 3.450000000000000000e+02
-1.193251193349684399e+03 -1.216321114596451025e+03 -5.816561194489148875e+03 -1.382193904801096551e+03 -2.145451388176612454e+03 -5.811017417324600501e+03 -3.387920312686258512e+03 -7.269637401616436364e+03 -2.356646702031748191e+03 -6.817541333897464938e+03 -9.900572423088417054e+03 -3.775049845441275920e+03 -6.943309010082479290e+03 -2.944453330394979275e+03 -1.209750001369998699e+03 -1.415513703781844924e+04 -1.842853564809862519e+03 -1.927378092692474866e+03 -1.479273521138163005e+03 -1.251963342241821920e+03 -1.747394609993076301e+03 -1.902665624298102193e+04 -1.341743781621448397e+04 -5.656976930341205843e+03 -7.360626590678504726e+03 -1.383541415520551027e+03 -1.893028458189865341e+04 -8.862056740029769571e+03 -1.272321238679154249e+03 -2.058293948245729098e+03 -2.063531804314245619e+03 -8.906047061826160643e+03
3.242807678480718603e-01 3.291486878331336130e-01 2.647785161382962826e-01 3.003058272908455395e-01 2.790644327290242588e-01 2.896054342976420171e-01 2.848283313719005005e-01 2.903464584944482341e-01 2.812690702914056873e-01 2.861881455947571373e-01 3.034941383658164571e-01 2.947480153531079061e-01 2.905750672108946553e-01 3.290644425023886432e-01 3.000370176596611760e-01 3.154500233019860711e-01 3.083642965894489163e-01 3.044856372453864646e-01 3.000461421353898261e-01 3.048758334151684402e-01 3.001630937197949378e-01 3.131098314698018692e-01 2.784321236024087654e-01 3.211758708539476093e-01 2.963318686068801555e-01 2.646218063666821996e-01 2.828046896600713844e-01 2.763785497861663276e-01 2.922126447571292696e-01 3.203054026704874602e-01 2.962026779514030927e-01 2.763559828346379699e-01
1.866668321384246654e-01 2.369249261796783634e-01 2.246131914431912235e-01 2.086037173974866210e-01 2.112470565207223427e-01 2.077482445391393429e-01 2.151639774117418136e-01 1.710310161426783493e-01 2.037831262823892320e-01 2.208900545791134540e-01 1.827269751360374173e-01 2.230030785557138018e-01 2.011392925878954518e-01 2.262160458620572634e-01 1.972742169599750461e-01 1.761476574836581543e-01 2.270760605617680727e-01 2.003311307345873593e-01 2.138127278751821847e-01 2.123275266247137971e-01 2.098101073735466893e-01 1.879675394796788968e-01 2.254117449325060141e-01 2.043219153588876902e-01 1.802509320381067426e-01 1.886683808770160675e-01 2.057747187034259517e-01 2.076801791130793162e-01 2.193239609307222893e-01 2.175338960954543710e-01 2.130042395301342539e-01 1.958849932683581485e-01
2.011568503442592026e-01 1.832179531723428234e-01 2.011381860856826798e-01 2.032359938215945461e-01 2.070633294849732742e-01 2.141649740851699346e-01 2.318832756248879190e-01 2.084616359886383719e-01 1.997234709059115265e-01 1.962223025567489398e-01 2.161302601821553371e-01 1.738392377066902139e-01 2.269150875855554250e-01 1.782814365204565821e-01 1.879739202522580643e-01 1.797192474952544194e-01 1.785436277748633505e-01 2.227763813160267281e-01 1.907290563900355396e-01 2.007124100028468694e-01 1.862578430144527508e-01 1.799165907021803013e-01 1.906468563965503793e-01 2.167509078509897158e-01 2.410332873453823743e-01 2.239895928804763736e-01 1.960364567906467959e-01 1.994037964512038741e-01 1.956904730462205588e-01 1.917182631225801126e-01 2.033592426395033625e-01 2.131421994976103462e-01
2.878955496692442995e-01 2.507084328148451724e-01 3.094701063328298418e-01 2.878544614900733767e-01 3.026251812652800410e-01 2.884813470780486777e-01 2.681244155914697669e-01 3.301608893742350448e-01 3.152243325202935265e-01 2.966994972693803856e-01 2.976486263159907608e-01 3.084096683844881337e-01 2.813705526156544678e-01 2.664380751150975390e-01 3.147148451281056025e-01 3.286830717191013829e-01 2.860160150739196050e-01 2.724068507039994480e-01 2.954120735993924773e-01 2.820842299572708933e-01 3.037689558922056499e-01 3.190060383483389050e-01 3.055092750685348135e-01 2.577513059361750125e-01 2.823839120096307553e-01 3.227202198758253315e-01 3.153841348458559235e-01 3.165374746495503988e-01 2.927729212659279101e-01 2.704424381114780562e-01 2.874338398789592075e-01 3.146168243993935909e-01
5.872155188835074924e+00 6.610823226537190678e+00 3.791965449309426806e+00 5.525113845871262974e+00 5.369708367188897213e+00 3.698556874521401916e+00 2.180849806218560616e+00 2.783785072312041198e+00 5.233888860850758107e+00 2.955145644178854614e+00 2.526300610423260373e+00 4.637483650640288779e+00 2.399071523170639875e+00 2.829067794325780927e+00 1.141593449139551986e+01 3.059028271030796997e+00 6.370741058565433157e+00 2.777687328366568398e+00 8.322945986955629039e+00 9.071069639004770480e+00 8.420621834561993424e+00 2.925137419710491127e+00 2.832074466311710559e+00 3.057142617190113043e+00 2.403412890186500839e+00 7.786022790335853649e+00 3.473619602248137372e+00 2.676843698562394014e+00 5.438636215248994432e+00 7.293981825568751631e+00 7.123414420789822010e+00 2.819699814822410833e+00
8.715424169189067705e-02 5.445890157903663514e-02 4.386497778221544463e-02 7.378841341603449566e-02 1.273396998348470810e-01 6.089434023433514670e-02 3.907008228643069070e-02 7.061524290713995511e-02 1.806555908557910539e-01 1.112545709872867356e-01 7.686968826195732241e-02 4.041323350667947595e-02 9.760338738917814783e-02 1.541145248083557184e-01 2.432461462482532824e-02 7.114792714885723179e-02 9.528023409821741174e-02 6.814071805936854076e-02 9.090053148955649920e-02 1.348292815834159497e-01 7.573132740458388135e-02 7.305938751811670573e-02 8.360523830259633526e-02 4.790171452523623447e-02 9.339569949527772030e-02 5.469912657056761468e-02 4.742292886930882245e-02 1.043890263227263554e-01 1.498565073830555872e-01 2.236361415452083334e-01 1.891833292430896707e-01 1.113147675810470111e-01
1.671191731747090126e+00 1.329806209003124851e+00 5.743525544148998518e-01 3.680886260548214661e+00 2.503338563117631477e+00 1.807434379619817510e-01 2.973596978122775014e-01 1.262582947504623798e-01 1.468277214640747230e+00 7.293031287244530758e-02 6.907731702833387610e-02 3.984148104597684537e-01 1.069933733565851947e-01 1.576826602739137273e-01 3.161851797519804830e+00 2.509241118582881125e-01 1.780675713287408035e+00 3.811596918712952253e-01 3.601255012580674819e+00 7.469095309270537442e+00 1.366452070351633630e+00 1.765054582613016787e-01 1.660836229478735437e-01 2.659060413775307663e-01 3.082684575858344114e-02 2.652519481857769978e+00 1.086659314020312017e+00 6.886628075963013851e-02 3.278075646126192400e+00 5.737763656735504370e+00 4.893769339367528559e+00 5.740507777502912995e-02
3.970058810607260402e-02 4.861813100316041830e-02 2.036329683094148801e-01 3.280723501843554185e-02 9.727354154762129015e-03 1.009251086698431249e-01 4.886988597999711859e-01 5.012961495476535578e-01 1.298647043373135079e-01 3.418159189465897474e-01 6.857836263088028239e-02 7.492685732453460701e-02 2.096080742589506996e-01 7.488949803445846265e-02 4.832492972369723341e-05 1.573834345518137223e-01 4.810465972743989438e-06 3.156024455297152392e-02 3.149387396930552335e-02 3.885084450303035664e-11 1.890962768963812268e-02 5.030221753629887660e-01 9.517262993185873765e-02 3.915024041200140803e-01 1.546429476390415447e-01 1.510467682659259910e-02 1.351349286329259769e-01 1.754237676574870730e-01 8.044695734640851590e-07 6.765723829364843345e-02 5.195198751899481743e-02 1.071452451353866575e+00
