# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YDR418W_YEL054C YNL049C_YIL109C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.273888496758636848e+03 -1.327880762666495684e+03 -6.720679305960997226e+03 -2.254783203007476004e+03 -6.665860106970442757e+03 -3.730046273041808490e+03 -8.086080487304779126e+03 -2.461871390448091461e+03 -1.363470215138290587e+04 -7.502749912473938821e+03 -1.058955275734889074e+04 -4.119589919170909525e+03 -7.499436248586618603e+03 -3.188783967001097153e+03 -1.592970375675893956e+04 -1.963226835799182936e+03 -3.008152303811830279e+04 -2.142239055519238718e+03 -1.566814160622516283e+03 -1.882023548664445116e+03 -2.108961912415148981e+04 -6.627567280088669577e+03 -8.033420768455631332e+03 -1.478592015191543624e+03 -2.172913786895565863e+04 -2.377402506623612862e+04 -9.655404082292774547e+03 -2.126928686749020471e+03 -1.995732068930877722e+04 -9.236745234843296203e+03
2.995112302853826236e-01 3.119709363328885265e-01 2.460567506181623176e-01 2.690843681310761126e-01 2.674587245715957518e-01 3.210920966486527361e-01 2.606194207253937911e-01 2.699540206666275477e-01 2.837006012714097802e-01 2.902308637494656618e-01 2.666509590828787246e-01 2.698150134028771685e-01 2.879143208915410090e-01 3.245429091868980431e-01 2.835296234895350320e-01 2.926186604291690085e-01 3.385938781131392905e-01 3.085112883928201044e-01 2.847373978668108485e-01 2.826411047014927846e-01 2.970527876321372718e-01 3.234914869725956099e-01 2.913197814095798144e-01 2.367573655482952399e-01 2.564589691086024414e-01 3.130810026616710484e-01 2.645971468935269244e-01 2.763373740068696405e-01 3.174387497209337772e-01 2.660359800299624822e-01
2.054651683080961355e-01 2.642836846028127074e-01 2.470054393741480669e-01 2.396486980443076065e-01 2.405888774166808353e-01 2.328688216814064904e-01 1.889517689308028436e-01 2.302447798464818396e-01 2.458997332511337064e-01 2.302226648506739415e-01 2.221097938280806872e-01 2.540602069995377965e-01 2.140801673361666102e-01 2.453056466703104066e-01 2.347986812418188796e-01 2.567128081813122575e-01 1.899398787155760215e-01 2.232321429256045875e-01 2.372685037848342449e-01 2.410253160546461937e-01 2.238352136026173222e-01 2.197915684835932137e-01 2.005885299158334245e-01 2.216678354856138622e-01 2.414131866393664783e-01 2.149382026866297202e-01 2.355128110534089048e-01 2.393450720200524240e-01 2.033106317154738385e-01 2.066728333250085481e-01
1.991874401587060417e-01 1.794656696890750414e-01 2.033227419159643612e-01 2.058637804173599761e-01 2.181663125986338658e-01 1.905460766483420276e-01 2.066767363420971282e-01 2.030169716316235218e-01 1.931700746800204538e-01 1.946303011179932596e-01 2.214213315859841213e-01 1.808132730784005882e-01 2.108217189719274742e-01 1.847896086844473262e-01 1.929264840732237418e-01 1.812580208397872872e-01 1.926938617659668951e-01 2.063721246271479903e-01 1.888427153301751871e-01 1.824265630091705392e-01 1.841064354086433541e-01 2.052798733899068584e-01 2.190830575533476987e-01 2.227232124055024132e-01 2.128946245510727198e-01 1.846167583383423183e-01 1.997911991086383787e-01 2.090269037952773301e-01 1.993064086792889766e-01 1.988908593214520626e-01
2.958361612478151437e-01 2.442797093752238080e-01 3.036150680917252265e-01 2.854031534072562493e-01 2.737860854130895194e-01 2.554930050215987181e-01 3.437520740017062093e-01 2.967842278552671464e-01 2.772295907974360318e-01 2.849161702818671649e-01 2.898179155030564669e-01 2.953115065191843636e-01 2.871837928003649343e-01 2.453618354583441963e-01 2.887452111954223466e-01 2.694105105497314190e-01 2.787723814053177929e-01 2.618844440544273455e-01 2.891513830181796640e-01 2.939070162346904547e-01 2.950055633566020519e-01 2.514370711539042902e-01 2.890086311212390902e-01 3.188515865605885402e-01 2.892332197009584438e-01 2.873640363133569964e-01 3.000988429444257921e-01 2.752906501778006332e-01 2.799442098843034077e-01 3.284003273235769349e-01
1.043122708450484204e+01 9.908723871487687518e+00 6.143548822460076941e+00 7.591734452577247438e+00 5.083820128302039443e+00 4.118584736148792835e+00 3.415006168663079045e+00 7.508024211527679626e+00 3.620602283404747990e+00 4.461722049084039021e+00 3.320215414458039582e+00 8.472849331159977737e+00 3.556843610639258024e+00 4.242164916482214387e+00 3.573992666883477387e+00 8.941414577087016369e+00 3.507906785315982212e+00 4.695213259726905619e+00 1.184564262127111256e+01 1.185713406851198926e+01 3.663011511941380860e+00 4.586945976447704965e+00 3.554561082779430059e+00 1.112512905008338748e+01 5.049035522540529897e+00 3.590350502446389758e+00 3.416340012383243696e+00 8.830953882777544450e+00 3.082708373040214056e+00 3.575386365948442169e+00
7.623777886025335349e+00 6.744765427425550186e+00 2.672479100410195318e+00 9.968165104775373209e+00 1.609364436299892898e+00 8.699024370330120659e-01 3.802387428784911316e-01 4.137982039411111757e+00 2.321602479288707721e-01 5.411755344162044734e-01 4.733106461795137387e-01 3.448172491923904737e+00 3.601735777208078249e-01 4.470390680480544887e-01 1.033882094151983955e+00 8.933699240492474658e+00 7.221054497000441164e-02 2.133668914401395167e+00 1.526121338561023144e+01 7.652718314868259597e+00 4.799278913710689487e-01 9.821712960767671197e-01 2.001177230820693487e-01 1.349403667068414592e+01 4.078700398578420483e+00 2.686102078245566349e-01 5.397767104337096722e-01 1.625969700216090885e+01 1.583881720247341252e-01 1.172446669779133588e-01
2.628484814157994870e-02 1.808672686525201329e-02 5.020004253828054541e-02 1.803180404382065741e-02 4.641434123495792596e-02 7.387544822378082354e-02 5.529624133728939378e-02 2.956454489907738015e-02 1.752525601964731450e-02 7.013955894333714913e-02 4.163179829305798524e-02 4.801899171173409919e-02 4.921868448003661328e-02 1.489794383926320610e-02 6.683583957748046034e-02 1.864435198278039871e-02 1.021820244930448096e-01 2.378705692309769984e-02 1.783701703938929753e-02 2.176997719160751743e-02 6.361170443098178306e-02 6.687650661562764831e-02 4.419461606443735036e-02 2.451802528412476423e-02 6.277456787746364675e-02 7.648432509079991504e-02 6.216556292409223389e-02 2.694408714922633119e-02 6.314365705153149322e-02 1.023869684025507376e-01
7.306985733743572020e-02 6.589682379325599582e-02 1.500171448756840997e-01 7.146913238404077606e-02 1.967600342055852991e-01 3.106502294244219975e-01 4.045127134607071628e-01 9.269856160251518928e-02 4.278359692868575204e-01 2.579537117759495568e-01 3.538911386834606154e-01 1.488797843077890037e-01 3.881908148825206628e-01 2.441076352245932779e-01 2.898730856127579858e-01 7.038014370636443140e-02 5.344817372086433371e-01 1.865843677881670604e-01 5.527960295820064096e-02 7.792995755852184792e-02 3.387063931935367367e-01 2.927446379535600385e-01 5.024621828514913568e-01 6.780740993108018422e-02 1.795868321006444668e-01 5.101283598592251112e-01 3.224762658146236860e-01 7.040716453289699861e-02 5.420844607280550509e-01 4.578930360046026271e-01
