# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 1.850000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 3.060000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 4.030000000000000000e+02 2.480000000000000000e+02 2.770000000000000000e+02 1.420000000000000000e+02 1.340000000000000000e+02 6.690000000000000000e+02 1.830000000000000000e+02 9.540000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.330000000000000000e+02 1.630000000000000000e+02 8.340000000000000000e+02 6.790000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 3.730000000000000000e+02 1.070000000000000000e+02 1.970000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.195081985761434908e+03 -1.220877224789174306e+03 -5.801384981356281060e+03 -2.215070296691949807e+03 -5.816551502623052329e+03 -3.323962155731936036e+03 -7.214574005927981489e+03 -2.381436197273863399e+03 -1.269012533247757347e+04 -6.785257929527028864e+03 -9.455753377940371138e+03 -3.492307529476830950e+03 -6.769183107737297178e+03 -2.921206542749234359e+03 -1.246979360245790303e+03 -1.433022168418095862e+04 -1.873677869917464704e+03 -2.826881516478536287e+04 -1.896732192977779277e+03 -1.533396626678172424e+03 -1.361553045241418204e+03 -1.771216420187660560e+03 -1.890826094512525378e+04 -1.341821702165007264e+04 -5.805868118821927055e+03 -7.333299858302946632e+03 -1.415290498853404642e+03 -1.930751446339911126e+04 -2.176549347654841768e+04 -8.717048796198390846e+03 -1.345646252250821817e+03 -2.197027397969302456e+03 -2.196658377724524144e+03 -1.853912545595524716e+04 -8.419206747273241490e+03
3.224455726856150228e-01 3.253571650005586124e-01 2.644111369960438496e-01 2.763754939854242143e-01 2.871103694355301994e-01 2.778379794131299874e-01 2.889308560132453629e-01 2.810884707597338661e-01 2.817902265311575949e-01 2.867126953095516240e-01 3.036292591915658035e-01 2.859548039677944353e-01 2.896362238618895302e-01 3.247091646006558530e-01 2.982202142385715349e-01 3.144170165280619211e-01 3.091380407877516445e-01 3.547515459874183708e-01 3.006952479476008855e-01 3.024055900875374792e-01 3.096176167853130767e-01 2.976174608222452722e-01 3.132704603588751802e-01 2.781853890741042834e-01 3.183769340362606060e-01 2.956955429239205846e-01 2.678409922502506535e-01 2.853077138409676472e-01 3.254624354773453798e-01 2.764948466924976311e-01 2.864168689043427585e-01 3.094450083050254152e-01 2.884058098087454169e-01 3.351036606089669578e-01 2.737200620314870214e-01
1.867025906200499019e-01 2.447777451958002004e-01 2.231811188248991051e-01 2.093494093386817634e-01 2.094814053721185676e-01 2.142066577705139807e-01 1.719764517067623455e-01 2.007237301695736775e-01 2.503612834530022369e-01 2.216690336434360142e-01 1.830132205171638715e-01 2.250419890702454184e-01 1.974451498977991548e-01 2.269420112929496358e-01 1.961993241402529842e-01 1.757160579404598300e-01 2.285906839466851914e-01 1.643690086516944593e-01 2.025968116252148676e-01 2.145374814702039334e-01 2.098832928707599355e-01 2.090421065714587190e-01 1.880100919495625300e-01 2.254219889948125000e-01 2.087154118160883531e-01 1.809988237148396906e-01 1.868274270515996871e-01 2.008170562799445058e-01 1.875803804578433931e-01 2.044159482243151360e-01 2.151676843988195309e-01 2.224961167594344813e-01 2.150395539668172318e-01 1.712080150674373524e-01 1.967150051631902374e-01
1.987250113339090740e-01 1.780191595662716231e-01 1.959985113134003476e-01 2.023744735019538388e-01 2.127540378358418749e-01 2.347889989396138855e-01 2.080301061175287014e-01 1.963309473536247185e-01 1.935989080480728930e-01 1.947516299035290110e-01 2.145210997069595393e-01 1.757880464403206722e-01 2.280177478658710066e-01 1.815327910604044859e-01 1.791167330583253725e-01 1.775619057545492485e-01 1.716683302740993344e-01 1.905197050653701651e-01 2.173540731166049844e-01 1.810406952248271029e-01 1.925794363021309241e-01 1.824152850607025922e-01 1.791891196379630236e-01 1.896722483886080224e-01 2.182914599113539578e-01 2.395494050921286033e-01 2.174836693898346274e-01 1.903703648418464123e-01 1.912927475122982446e-01 2.000410126835527047e-01 2.039992120585621127e-01 1.830892978964109852e-01 1.966556388325525484e-01 1.984590016408968871e-01 2.170395172384301241e-01
2.921268253604260012e-01 2.518459302373695641e-01 3.164092328656566977e-01 3.119006231739401835e-01 2.906541873565093859e-01 2.731663638767421465e-01 3.310625861624635902e-01 3.218568517170677379e-01 2.742495819677672753e-01 2.968666411434834340e-01 2.988364205843107579e-01 3.132151605216393908e-01 2.849008783744403916e-01 2.668160330459900531e-01 3.264637285628501084e-01 3.323050197769290004e-01 2.906029449914638851e-01 2.903597402955170326e-01 2.793538673105792625e-01 3.020162332174313735e-01 2.879196540417960359e-01 3.109251475455934166e-01 3.195303280535993218e-01 3.067203735424751665e-01 2.546161942362970554e-01 2.837562282691111215e-01 3.278479113083150320e-01 3.235048650372414070e-01 2.956644365525129547e-01 3.190481923996346114e-01 2.944162346382756534e-01 2.849695770391290628e-01 2.998989973918848029e-01 2.952293226826988026e-01 3.125254155668926725e-01
5.974154682204139810e+00 7.092315849442872633e+00 3.892278668069364400e+00 4.717605676417965910e+00 3.520925735095713716e+00 2.229000352279773889e+00 2.728647177480671537e+00 4.644390981347937597e+00 2.508976382204990863e+00 2.915072764633705127e+00 2.561085162255574144e+00 5.118585742812820527e+00 2.378154969355699144e+00 2.790428508421363585e+00 9.939624021538719489e+00 3.042685944995882963e+00 6.349867346417842562e+00 2.716122996805420797e+00 2.583054733394197111e+00 7.700294482846138600e+00 8.141330890366569761e+00 7.675078854029430353e+00 2.940668507414828436e+00 2.829491801213429358e+00 3.126711899585409515e+00 2.421891019628152009e+00 8.303751305007279981e+00 3.400799513958871589e+00 2.644733995225421630e+00 2.589715702065638503e+00 3.967497219572774014e+00 6.195743960606066025e+00 5.785569697060220840e+00 2.495742492056104656e+00 2.816782559053419455e+00
7.463275273322839132e-02 4.811681121323099081e-02 3.994678483839152888e-02 1.097038845897441856e-01 6.098544946896770902e-02 3.234667779305677726e-02 6.606123642341718560e-02 1.526598273260452443e-01 1.240672430235745249e-01 1.113689748641291805e-01 6.998477294487129297e-02 2.490309908281267137e-02 9.091583450697732216e-02 1.533429042709352208e-01 2.116191869398799039e-02 7.414021452101196563e-02 8.330820838517954963e-02 1.893445801823343544e-01 6.282483019744986019e-02 7.449186144259734021e-02 1.114177978666466146e-01 6.573088591622003318e-02 7.355782584832634696e-02 8.689555614123160854e-02 5.186461614195170267e-02 9.262921221374821601e-02 5.018313667955787150e-02 4.497408916463467576e-02 8.567463252800094908e-02 1.016035669139802172e-01 1.458368194785657490e-01 1.525935460744183847e-01 1.344481266030438660e-01 1.230639787709932320e-01 1.058192602847531777e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.934645636851435938e-02 3.143644694992119969e-03 7.984229068704801202e-02 1.996459360410970466e-06 5.602519155632669501e-02 2.282908253673717192e-01 3.193498636737079899e-01 2.894089156246655234e-02 7.957695287509219950e-02 2.953977017457946608e-01 2.653675653380693225e-05 3.491573778681034518e-06 9.018990354133243903e-02 4.538925274813229715e-02 5.948874207153781001e-07 4.554288158768889094e-02 8.430328847717466259e-07 6.340930939480718953e-01 1.890477511230822041e-02 7.438878182029906453e-04 4.208578504533563930e-07 7.642092939225326488e-03 3.517571907755053795e-01 4.474748889014307923e-02 3.261195620771638048e-01 1.202418612654781033e-01 4.063003593462505628e-03 1.328674713595081637e-02 3.832894984723342890e-01 2.041043224974488091e-01 1.640403190266284371e-07 1.314034331426934207e-06 1.489927338493115669e-06 2.038155165917487355e-01 1.019416733777516848e+00
