# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 3.060000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 4.030000000000000000e+02 2.480000000000000000e+02 2.770000000000000000e+02 1.420000000000000000e+02 1.340000000000000000e+02 6.690000000000000000e+02 9.540000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.330000000000000000e+02 1.630000000000000000e+02 8.340000000000000000e+02 6.790000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 3.730000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.199560885698247375e+03 -1.228023779984799603e+03 -6.134543524430875550e+03 -6.338281080207544619e+03 -3.894170138001285977e+03 -8.899301938167180197e+03 -2.387384291249387388e+03 -1.572484216957454737e+04 -7.526822514335480264e+03 -1.149442215397933433e+04 -3.704448605562250123e+03 -8.243605403239578663e+03 -3.318097334154751934e+03 -1.269387234828144983e+03 -1.654589609453989397e+04 -3.687812560046731232e+04 -2.061242666511805510e+03 -1.550790889114156471e+03 -1.384224599584493490e+03 -1.786137390292300779e+03 -2.239108391372658662e+04 -1.495607825961182789e+04 -6.673934577340599390e+03 -9.424059048836385045e+03 -1.421693700660777495e+03 -2.091385878902148761e+04 -2.783943696608082610e+04 -1.017948065166297420e+04 -2.212288596360051088e+03 -2.418271740816298188e+04 -1.038847555959764941e+04
3.210561699405718450e-01 3.223192374783269698e-01 2.763590127693308363e-01 3.231582645618950034e-01 3.233079376267403160e-01 3.230387474071674814e-01 2.798955557360129354e-01 3.229579866901870489e-01 3.231047697608335212e-01 3.229983924898619518e-01 2.689100452289597820e-01 3.230585659070886462e-01 3.234495499608814884e-01 2.904681692798820603e-01 3.229578198445656745e-01 3.228927751956817693e-01 3.238278538897050862e-01 3.041979968827175917e-01 3.168331258161825592e-01 2.970613853793765413e-01 3.229268698787778891e-01 3.229763468075394495e-01 3.231160979110727638e-01 3.230245078630509248e-01 2.679521507759336507e-01 3.208530716250435622e-01 3.229075513689241284e-01 3.230231705352401561e-01 2.945760325136451141e-01 3.229157345679030122e-01 3.230132120237136362e-01
1.851665284892012597e-01 2.460372978624768281e-01 1.945735569040410728e-01 1.721064012666836118e-01 1.722366302865427912e-01 1.580343052020190264e-01 2.010713824889818480e-01 1.717851952986791664e-01 1.669116526976335280e-01 1.688153321663484752e-01 2.084530751006101190e-01 1.666453226323555414e-01 1.767052008590296874e-01 2.017069852286381693e-01 1.729576753816966239e-01 1.660085332430867866e-01 1.675391227098198543e-01 2.107269764579071947e-01 2.006309583761426707e-01 2.091527069718950305e-01 1.676418083120457259e-01 1.714051330232278236e-01 1.683192177552571278e-01 1.666388366677948318e-01 1.858008787686822316e-01 1.723995659501812994e-01 1.685154407213240446e-01 1.702756591207869596e-01 2.056696374717716103e-01 1.673917983934818110e-01 1.655528009990344385e-01
2.003035354520313893e-01 1.741820519117252553e-01 1.728632451874078102e-01 2.021618636322292939e-01 2.021524840664903899e-01 2.021693336634657057e-01 1.975534679411388439e-01 2.021743714136556569e-01 2.021652093199873268e-01 2.021718519534525527e-01 1.680767527937765404e-01 2.021680961861365700e-01 2.021435843318117043e-01 1.810884866599593579e-01 2.021743818129751735e-01 2.021784333734914507e-01 2.021196889649037043e-01 1.819773400255031148e-01 1.953198971258323924e-01 1.796515920484712814e-01 2.021763103012977347e-01 2.021732268369971774e-01 2.021645011247775459e-01 2.021702224899972478e-01 2.155289421680188500e-01 2.008678895524131369e-01 2.021775134382585992e-01 2.021703059526554769e-01 2.041159046128877830e-01 2.021770038530362745e-01 2.021709273944693741e-01
2.934737661181954782e-01 2.574614127474709191e-01 3.562041851392203085e-01 3.025734705391920354e-01 3.023029480202265029e-01 3.167576137273477865e-01 3.214795938338663173e-01 3.030824465974781279e-01 3.078183682215456241e-01 3.060144233903370203e-01 3.545601268766535585e-01 3.081280152744192424e-01 2.977016648482771477e-01 3.267363588315204126e-01 3.019101229607625281e-01 3.089202581877400489e-01 3.065133344355713829e-01 3.030976866338720987e-01 2.872160186818423777e-01 3.141343156002571746e-01 3.072550115078786503e-01 3.034452933322355772e-01 3.064001832088925070e-01 3.081664329791569679e-01 3.307180282873651289e-01 3.058794728723620016e-01 3.063994944714931723e-01 3.045308643913174351e-01 2.956384254016954372e-01 3.075154631855788745e-01 3.092630595827826068e-01
5.990455757325985786e+00 6.502326605676385540e+00 5.402602828095955267e+00 5.029467015542120834e+00 4.739186670151488201e+00 4.527794323793128406e+00 4.658047034679166920e+00 4.598018266976312773e+00 4.861193127492714261e+00 4.530054168595067488e+00 5.739520178492869107e+00 4.583720724801234603e+00 4.772254029071833159e+00 6.498503214364195202e+00 4.620402302919510262e+00 4.546969948414900209e+00 4.881736998139556860e+00 6.192117156265644518e+00 6.159573007105979769e+00 6.340561791580531015e+00 4.626335256783674410e+00 4.763855891837976309e+00 4.894554434669078802e+00 4.542813490246549790e+00 8.424388146700971802e+00 5.065271428288494526e+00 4.524864637894392416e+00 4.578986290538461290e+00 5.667830953448071973e+00 4.421362481079309958e+00 4.572010551369345421e+00
7.388268275218246028e-02 6.665092170497925739e-02 8.084954832527334323e-02 8.799738696628381374e-02 1.040668265479319926e-01 1.071206212705898969e-01 1.517800668121632446e-01 1.151778942069793116e-01 1.010340944957868886e-01 1.069893411385794135e-01 7.660414525279726772e-02 1.076534545471955484e-01 1.086255182398961627e-01 7.209016861487413386e-02 1.031615274218037337e-01 1.215792066479616518e-01 8.985984564881280279e-02 8.373737467150965674e-02 9.133451498982683714e-02 7.994700550407202178e-02 1.049665602124483788e-01 9.699459364183504739e-02 9.735566803718971596e-02 1.129986461924549768e-01 4.962037457098947973e-02 8.425508446337195978e-02 1.140040870822632141e-01 1.030272459381357530e-01 1.010372886199337877e-01 1.184196797552861113e-01 1.097709030398807822e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.945305699060615942e-02 4.623727089790447865e-03 5.712468821544697956e-02 5.759716985499719472e-02 5.592578239571040916e-02 5.439301601407438985e-02 2.266200158299137499e-02 5.413813193699892196e-02 5.638163615926117950e-02 5.491814557572767541e-02 5.692403107420736241e-02 5.492777453572987578e-02 5.555825245339284651e-02 1.798266911265404252e-03 5.574896461182621971e-02 5.278574053956141404e-02 5.705245983710078433e-02 7.696877736625462423e-03 1.450366923286560035e-02 1.407394579938006304e-02 5.542032800122633635e-02 5.663945118223791264e-02 5.680713979713284539e-02 5.410128171461777574e-02 5.058253184455893670e-03 5.765670190078014262e-02 5.397996485686924056e-02 5.555459581641101346e-02 7.082468319002601861e-03 5.290709316717567834e-02 5.458873502568983155e-02
