# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YPR159W_YGR143W YGL133W_YPL216W YBR191W_YPL079W YER074W_YIL069C YNL049C_YIL109C YPL232W_YMR183C YLR284C_YOR180C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 2.007000000000000000e+03 2.862000000000000000e+03 4.770000000000000000e+02 3.990000000000000000e+02 2.502000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.319559107979222063e+03 -1.375134125464476710e+03 -6.890253393580320335e+03 -6.811066687603224636e+03 -3.771152991750216643e+03 -8.125668809247457830e+03 -2.539561869637605014e+03 -1.366885109738203755e+04 -7.543316537219515340e+03 -1.065327976534276604e+04 -4.271849123409685490e+03 -7.531539390518590153e+03 -3.203986628873077279e+03 -1.616157899983312745e+04 -3.009302643644987256e+04 -1.685995465226783608e+03 -5.195237744303080035e+03 -2.121115935905300648e+04 -6.719931456646538209e+03 -8.051198460373082526e+03 -2.385074820922465369e+04 -9.722114116506385471e+03 -1.277662013158469563e+04 -3.869648124752711010e+04 -1.998394874259726203e+04 -9.243833283314226719e+03
2.928831089979150870e-01 3.005216269876080926e-01 2.360453557173785577e-01 2.650828892323466301e-01 3.191890257152440458e-01 2.608964467732709513e-01 2.681911823070010081e-01 2.829244182310355349e-01 2.880783206953930753e-01 2.672772197055247601e-01 2.596358792137719584e-01 2.866785116294404134e-01 3.208075520133520930e-01 2.823056229702031739e-01 3.388071339635969625e-01 2.815659511580035357e-01 9.048374180359596286e-01 2.971256793578381239e-01 3.162193367363504981e-01 2.915153186855481970e-01 3.130852729993824912e-01 2.661371395517214133e-01 2.491580415530820006e-02 5.932088582485822513e-26 3.162269219837219869e-01 2.664388793788394771e-01
2.044573718383066452e-01 2.775525003076628749e-01 2.495588799966500237e-01 2.432103866297682937e-01 2.348100379802064985e-01 1.890363847700908817e-01 2.298790690926620917e-01 2.473944983604129955e-01 2.300741167623469863e-01 2.226709242457809712e-01 2.567579006659577168e-01 2.151379369486862703e-01 2.480967499431050716e-01 2.363849665793881227e-01 1.901200554951552879e-01 2.445969115872969057e-01 2.189331922387965229e-02 2.245299005343788235e-01 2.269239343098093387e-01 2.017489610120697663e-01 2.158540024050253914e-01 2.346182267784814590e-01 2.128273068600336319e-03 3.532127595681519572e-01 2.035619242156702646e-01 2.065702475258606174e-01
1.964661268953204198e-01 1.678723004349935710e-01 1.938760379672589407e-01 2.156851327837237819e-01 1.848415346984732255e-01 2.058151229811983618e-01 1.953686202643831749e-01 1.913631810744250983e-01 1.925878029585992857e-01 2.190071371927582999e-01 1.770040817697811353e-01 2.099398952459166912e-01 1.826523932106129955e-01 1.900500067357414058e-01 1.924357686495838937e-01 1.718836448598248245e-01 4.639200646475442891e-02 1.817531602973017357e-01 2.009335700753775988e-01 2.171257497913988144e-01 1.831126136955254224e-01 1.977436664013721146e-01 1.277460596132946836e-03 5.305420311963437506e-24 1.994602301615229778e-01 1.987752614649001826e-01
3.061933922684579312e-01 2.540535722697354615e-01 3.205197263187124501e-01 2.760215913541613220e-01 2.611594016060762025e-01 3.442520454754398607e-01 3.065611283359537254e-01 2.783179023341263436e-01 2.892597595836605695e-01 2.910447188559359688e-01 3.066021383504891062e-01 2.882436561759565419e-01 2.484433048329298122e-01 2.912594037146672976e-01 2.786370418916638281e-01 3.019534923948746785e-01 2.687725627540633183e-02 2.965912598104812892e-01 2.559231588784625644e-01 2.896099705109831945e-01 2.879481109000666672e-01 3.015009672684250130e-01 9.716784621799585686e-01 6.467872404318479873e-01 2.807509236390847707e-01 3.282156116303997506e-01
1.105143675218885235e+01 1.208633191768297266e+01 6.990801490090739811e+00 5.019945937337310760e+00 4.164208303081921692e+00 3.383024894950345196e+00 7.051918349204536085e+00 3.594807550362630444e+00 4.555648606285243041e+00 3.289020619123621092e+00 9.639810092711718070e+00 3.574388884114652498e+00 4.241515590382020306e+00 3.571381328682319278e+00 3.464442651506953297e+00 1.336763431917030687e+01 1.350246676803266295e+31 3.692262463629358837e+00 4.793526560946791193e+00 3.481218040914005218e+00 3.536675230716088691e+00 3.380590663374531957e+00 8.341812550554565050e+27 5.335873297442275565e+00 3.030485916409932923e+00 3.530817320779414459e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.595500675364286865e-03 3.904919040788391079e-03 1.825860621198347952e-02 1.429300107920758456e-02 2.358859945002150099e-02 2.609995371158625732e-02 1.084708518333128702e-02 5.699975344829934926e-03 4.847536232361826514e-02 1.178030595010913506e-02 1.058976726169679784e-02 2.417504113050125344e-02 5.532648071763167710e-03 1.695175723821555624e-02 8.965709625053036591e-02 1.724068116437369553e-03 0.000000000000000000e+00 3.841567710941128783e-02 2.445664989937458914e-02 1.869796252544724674e-02 4.138467026583903668e-02 3.335967760409826177e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.095484785840365086e-02 8.858322697403168966e-02
8.670231353367367777e-02 6.735085797070564095e-02 1.480683824020603556e-01 1.937705910374355467e-01 3.391024552151088445e-01 3.951416698229639479e-01 9.124975480250153981e-02 4.241336481048013640e-01 2.558529431963998957e-01 3.459239596879986056e-01 1.467120212803001977e-01 3.826272151847325831e-01 2.447632266709515447e-01 3.083949831996296020e-01 5.286533641141261120e-01 5.938913006162253178e-02 1.926932953930323151e+02 3.334258169157227059e-01 2.848170123466975956e-01 4.920435147595982328e-01 4.937142292593399429e-01 3.151572480203100324e-01 1.565089647839010411e-09 1.918078700255551693e-11 5.830116881099681736e-01 4.529961668477595071e-01
