pair	length	R0_logL	RF_logL	U0_logL	UF_logL	R0_kappa	RF_kappa	U0_kappa	UF_kappa	R_Tau	U_Tau	R0_TL	RF_TL	U0_TL	UF_TL
YLR406C_YDL075W	339	1336.34616036	1289.86768373	1329.48309355	1284.27071898	10.3178326365	9.6163007968	10.2093853483	9.51148154483	7.68678664702	8.04878576622	0.31316706529	0.26726611472	0.30827070237	0.256356054506
YER131W_YGL189C	357	1390.63383439	1338.54666197	1379.99636109	1324.9569011	12.1612784072	9.89156402471	12.1127095227	9.46645021901	6.9331995348	7.59849835245	0.289109746211	0.239411986929	0.286185492944	0.213176531606
YDR502C_YLR180W	1146	6938.73190103	6749.73546454	6914.48436028	6705.3329094	6.87826927367	5.99156891974	6.90925882052	5.89834270869	2.7106688061	3.09633014765	0.644942510715	0.558146905232	0.637445661719	0.501646752324
YML026C_YDR450W	423	1617.3282414	1477.17878046	1603.06819622	1466.54134821	10.3604410503	9.27554552003	10.380377733	9.19215176657	15.6025796954	15.7403955826	0.294276402793	0.223390494255	0.295649124731	0.212649827671
YNL301C_YOL120C	558	2415.42259383	2258.0699885	2404.43201332	2251.58963358	7.40242597872	7.48561371407	7.45901410442	7.3154025866	10.4084721053	11.0593605446	0.349719189476	0.290149501703	0.354366933492	0.273723549787
YHR106W_YDR353W	957	6827.54578085	6672.38903837	6796.10843604	6631.07629415	5.0024957241	5.07813303116	5.00705432942	5.08867988685	1.67005952439	1.81908578099	0.822329672226	0.730825451906	0.810682646782	0.669821003378
YIL057C_YER067W	471	3862.51825937	3806.42485557	3837.65883789	3796.10050039	4.00468069377	4.01185283964	4.0362800275	3.98835662556	1.0350034916	0.95828041667	1.16629770465	1.08534574478	1.1900831405	1.061330948
YPL087W_YBR183W	921	8238.91404316	8153.05748089	8152.7723315	8102.95593958	3.4078664115	3.56325020832	3.38221095299	3.53796441907	0.581955253805	0.498313225082	1.41637486763	1.40088765163	1.44143855361	1.32589420239
YNL069C_YIL133C	594	2577.70325435	2492.48612368	2564.00121482	2473.80007782	6.81452155497	7.30806462515	6.84954792004	7.16979611427	4.13084163405	4.9134532407	0.354695478581	0.309644898273	0.354730296886	0.282392352196
YDR518W_YCL043C	1497	13781.1090627	13703.1738843	13633.9469013	13591.3336468	3.51491812849	3.5752409452	3.58401919338	3.61959252785	0.409462265328	0.287379023204	1.48658577022	1.4662276127	1.49441527976	1.42388658217
YGR043C_YLR354C	996	7585.02666833	7531.18654621	7538.49110864	7479.64008761	4.55083485434	4.45563955504	4.55900462102	4.44623697558	0.632044750851	0.718558171952	0.963027081857	0.910524383247	0.921020975324	0.830810907496
YPR157W_YGR141W	1239	11147.0896832	11030.9390983	11060.1397656	10984.6496237	3.15155013384	3.24232655107	3.22128292455	3.2567724225	0.641685588448	0.543244262607	1.34224690949	1.30344439769	1.37088770227	1.26082785628
YDR099W_YER177W	765	4527.37698789	4360.97187569	4498.31973169	4336.84786742	8.30043043533	7.60906178923	8.21372080129	7.48489385729	3.24598213896	3.67796967015	0.64628442656	0.541870347094	0.645068141019	0.494722572754
YBR024W_YBR037C	840	7730.47821219	7680.54981584	7677.18269214	7635.06105913	3.47718939394	3.51188414292	3.51147709351	3.51994650175	0.461072474588	0.455431042042	1.4140787302	1.37159178141	1.40583872345	1.28809647699
YPL037C_YDR252W	429	3242.55540189	3229.98910428	3185.78234903	3174.05183123	4.26634969765	4.24556373926	4.31623602595	4.32322894471	0.434909942974	0.344621121179	0.937750022101	0.892279689922	0.928130839623	0.878684609196
YMR143W_YDL083C	402	1432.86888682	1334.9849572	1417.97743951	1323.83562994	20.254040873	21.1536624255	20.2433695611	20.6565144641	13.9129636558	13.6956451595	0.252591616019	0.196716686436	0.245110263358	0.177187489534
YPR159W_YGR143W	2001	16116.1769907	15811.9499444	16012.46722	15769.8848109	3.5500230669	3.63257062645	3.57265026814	3.61704479854	1.23190320249	1.16657465107	1.10050004066	1.00553231215	1.11733959202	0.976511769944
YJL177W_YKL180W	552	2074.9400548	1969.76319352	2051.84013769	1961.51572788	10.2390510073	8.72201322076	10.2614229504	8.59435868445	9.85446959659	10.1852800359	0.281581021576	0.234215933103	0.283356995889	0.220541027153
YGL133W_YPL216W	2982	31907.8521163	31853.6427128	31737.3463733	31696.5534496	3.39741960294	3.51941836724	3.38918978885	3.48672753713	0.159351419793	0.14709518068	1.98199086025	1.97795014187	1.91184464198	1.85264832594
YJR048W_YEL039C	327	2278.25057869	2199.74973141	2252.63203349	2183.47247755	4.48705582811	4.52016656128	4.54686543507	4.59579509765	2.27946236221	2.1021924677	0.788047247039	0.710743948393	0.789612562665	0.673206349137
YBR191W_YPL079W	480	1703.95494938	1583.70991254	1682.67218201	1565.45574885	13.3587630757	12.0143460274	13.3043595177	11.8256375084	14.5358315854	14.8905235574	0.243181252627	0.193794548586	0.240054525383	0.181269396058
YER074W_YIL069C	399	1490.53835058	1314.90545124	1464.54115597	1309.150026	13.2312379961	13.5106989393	13.4918682736	13.4564134215	24.9904873845	23.8757417013	0.290299024771	0.23723154331	0.308337024702	0.237936851826
YDR418W_YEL054C	492	1993.95960933	1895.91680183	1972.09142641	1877.52465349	12.9973651795	11.6475481894	13.1398334568	11.8178041989	8.05160202337	7.88671031363	0.318503920019	0.268296043566	0.321520344757	0.255153202452
YNL049C_YIL109C	2511	21469.8624109	21276.7521458	21308.8543821	21155.5057484	3.64193484318	3.66989459543	3.67006088716	3.66187086176	0.629537789814	0.592702779009	1.23123167863	1.19197841711	1.22016940301	1.11878390175
YBR117C_YPR074C	2040	15297.302696	15181.3576951	15133.8719563	15037.1023725	4.02000959526	3.91645018887	4.05766935448	3.98574254158	0.770719911603	0.660454579511	0.927289829753	0.877087248648	0.915657559263	0.84132776222
YPL232W_YMR183C	855	6625.22035668	6498.32911382	6584.23685982	6469.17926405	4.75715781449	4.5786380384	4.81472698132	4.60929122153	1.18203893393	1.26716232863	1.04975691577	0.973718730951	1.06801942483	0.902394639348
YLR284C_YOR180C	807	8139.42174395	8088.82300497	8050.23325475	8033.11834813	3.44884851127	3.6656682773	3.44584917917	3.51612474795	0.367108090883	0.209510076053	1.78707417371	1.80563157594	1.83098959133	1.75909091941
YBL087C_YER117W	411	1613.30526494	1496.75145144	1601.65881754	1489.30763162	12.379723891	10.1452900072	12.4037275445	10.0046175079	13.0178615872	13.5172885402	0.305301659231	0.236640710374	0.306401553939	0.220128413041
YGL062W_YBR218C	3393	23094.8943868	21796.8260668	23019.3617423	21694.0935376	5.15938647193	4.97179078878	5.19604321404	5.02810508886	3.96245376261	4.30012900822	0.804400924826	0.66215039942	0.808673096012	0.611996202639
YIR033W_YKL020C	2682	26451.8252857	26269.3603037	26263.5822871	26169.6539265	3.32720777281	3.51490135437	3.33662257819	3.46307635801	0.359891151931	0.298597452008	1.86268974584	1.88600162786	1.87369594111	1.78038221065
