# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 4.200000000000000000e+02 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 4.020000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 3.990000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 2.037000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 3.210000000000000000e+02 5.910000000000000000e+02 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.313939020790607628e+03 -1.397790195296841603e+03 -7.015837306349306346e+03 -1.684853435100253591e+03 -2.398078592529159778e+03 -6.777720928792964514e+03 -3.761269042562568302e+03 -8.096354909271138240e+03 -2.532964638521548295e+03 -1.362072969122021823e+04 -7.501285270194777695e+03 -1.063261079441422407e+04 -4.244926101590127473e+03 -7.505924460106472907e+03 -3.157949627631263866e+03 -1.417977445527738382e+03 -1.613009120799857737e+04 -2.045852257621522540e+03 -2.997361031165469831e+04 -2.204128824741408607e+03 -1.671428099167269011e+03 -1.464940247829091277e+03 -1.963858178835860599e+03 -2.113217183367390317e+04 -1.511328815362755267e+04 -6.703799191863954547e+03 -8.020975028780749199e+03 -2.392264909541636371e+04 -2.380321996672434398e+04 -9.686459493776579620e+03 -1.439935756081519457e+03 -2.451479753325079400e+03 -2.349005184926172205e+03 -1.992771924776971719e+04 -9.189636003840609192e+03
2.939651540296209786e-01 3.005799095029535462e-01 2.464446656641388067e-01 2.804246292674053009e-01 2.591937768710332879e-01 2.652009219311445287e-01 3.199418685086669600e-01 2.630233462134657363e-01 2.692526191245396827e-01 2.844862985601062100e-01 2.914218374987836424e-01 2.690864100827086158e-01 2.609776002681616358e-01 2.876413630070846494e-01 3.206705179289329188e-01 2.752563325918692683e-01 2.818744828018018844e-01 2.865262615995681217e-01 3.403422628603537947e-01 3.010710167705085705e-01 2.820714164778807542e-01 2.912162297664842581e-01 2.797997286575330533e-01 2.984455621532126068e-01 2.636066428835501241e-01 3.179064791124881495e-01 2.923367516284158252e-01 2.595827009176061018e-01 3.142885767288100540e-01 2.674205126113055608e-01 2.792875562467253547e-01 2.961596163294529793e-01 2.664245845535173074e-01 3.156084386365727301e-01 2.678019275218038731e-01
2.067825564302420149e-01 2.809284670910474624e-01 2.359664510467841814e-01 2.343273490168561735e-01 2.423470977391273540e-01 2.406160390485682921e-01 2.327550031830668831e-01 1.879483572807380820e-01 2.292643260118598092e-01 2.455550965143308562e-01 2.251132724155759657e-01 2.210744680787109506e-01 2.553106734415530044e-01 2.143996864862458551e-01 2.463684586055247538e-01 2.277873899496090371e-01 2.354161416967234244e-01 2.646940499434319305e-01 1.892002608547605769e-01 2.227672461873159149e-01 2.412895468258871579e-01 2.328460219558933786e-01 2.446209378144321711e-01 2.216922725770036073e-01 2.444422370296563674e-01 2.246504654873743012e-01 2.021075544093098031e-01 2.388511894589451512e-01 2.146939820041015301e-01 2.322416584622193081e-01 2.360353039654097540e-01 2.474833834269613286e-01 2.491301093522393373e-01 2.038376024695302824e-01 2.045091238081390428e-01
1.957560627682227439e-01 1.724782513556691321e-01 1.864968921501552468e-01 1.800413434344635133e-01 1.995791376240722281e-01 2.152218082602284088e-01 1.847488253734415609e-01 2.063094926627392911e-01 1.944247855036117800e-01 1.902428963139612961e-01 1.897141314484328822e-01 2.182301848109406417e-01 1.765449986200754995e-01 2.110810490197951861e-01 1.847379534348319585e-01 1.681051188038008293e-01 1.900726270460693645e-01 1.705737802087022026e-01 1.919253509710940331e-01 2.004107430965006709e-01 1.726942131524730473e-01 1.812835598939168680e-01 1.716548209360193311e-01 1.814311261005185361e-01 1.988681331690272114e-01 1.989620567095666814e-01 2.159088567057208530e-01 1.983124029055067794e-01 1.829288090530936939e-01 1.962101407936571174e-01 2.003938690716331461e-01 1.833856265958857812e-01 1.951500900291379681e-01 1.988772181661078164e-01 1.991178821192399750e-01
3.034962267719142348e-01 2.460133720503299148e-01 3.310919911389216819e-01 3.052066782812750123e-01 2.988799877657671855e-01 2.789612307600587982e-01 2.625543029348246238e-01 3.427188038430568628e-01 3.070582693599887558e-01 2.797157086116016655e-01 2.937507586372075097e-01 2.916089370276396808e-01 3.071667276702097493e-01 2.868779014868743649e-01 2.482230700307103688e-01 3.288511586547208654e-01 2.926367484554053267e-01 2.782059082482977175e-01 2.785321253137916231e-01 2.757509939456748715e-01 3.039448235437591794e-01 2.946541883837055509e-01 3.039245125920154722e-01 2.984310391692653330e-01 2.930829869177662972e-01 2.584809986905708956e-01 2.896468372565534910e-01 3.032537067179419399e-01 2.880886322139946665e-01 3.041276881328180415e-01 2.842832707162317174e-01 2.729713736476997998e-01 2.892952160651054427e-01 2.816767407277891433e-01 3.285710665508171369e-01
1.094399171603641996e+01 1.271277918528894091e+01 6.803765515310542966e+00 8.839141767380304771e+00 7.464064099102159844e+00 4.989053949329419702e+00 4.147401427809906949e+00 3.354918813153747958e+00 7.028946681447044931e+00 3.586950772021601619e+00 4.524344832692319684e+00 3.283365953390591230e+00 9.468026506010470911e+00 3.527625322417272891e+00 4.256910022643800140e+00 2.023741695283737485e+01 3.551125290171600835e+00 1.027373459399330535e+01 3.419683210924453043e+00 4.631511579969497916e+00 1.312837238435859710e+01 1.354607728018849500e+01 1.306277414976508133e+01 3.681388686314625680e+00 4.055169193560299590e+00 4.794900377952036052e+00 3.433698696811725792e+00 5.205863831639581107e+00 3.516903627455142178e+00 3.346732148313340094e+00 6.141199691164117347e+00 8.727369622441111474e+00 8.831824973729917261e+00 3.011639913975096672e+00 3.508565248661835057e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.764797974095886762e-03 4.218224188843364142e-02 1.019498075387674785e-01 6.937407965624595163e-02 1.579743449684863771e-03 1.984804803968372861e-02 2.289224219833520951e-02 3.210333129923596124e-02 1.334524753240211997e-02 1.531145716183909648e-02 6.872829620889119029e-02 1.527407334689097167e-02 9.485887969463639713e-03 3.674639817122739294e-02 1.720046596368974418e-02 1.930676072602249068e-04 1.654315681307810468e-02 1.370772013875391207e-04 1.257856708678841973e-01 3.108692943351619182e-03 3.682963736451225559e-03 8.627975508293117416e-04 5.720255380016684398e-03 5.145689670891359646e-02 7.154957853851498170e-03 2.710319820805691046e-02 1.991023883662394051e-02 1.579594404678562325e-01 4.904794046695205856e-02 4.232737920972454160e-02 4.005707261041429583e-08 6.061496486219566937e-02 1.822447474361389621e-03 2.936542071296942974e-02 1.318861764533957315e-01
8.236849753838550170e-02 9.479076439186809717e-07 7.127179293638839748e-07 2.668329606863279157e-09 7.071041761142272952e-02 1.437793251921722082e-01 3.391450092547620976e-01 3.441806373717700152e-01 7.049228231274093370e-02 2.917211593661471203e-01 1.310548253665223262e-01 3.031573996761108836e-01 1.434994637977257403e-01 2.762944079001468101e-01 1.579106963723474477e-01 3.328291356400681078e-02 3.080179019435636545e-01 7.378461386243261033e-02 3.306131061395795045e-01 1.330668549196214190e-01 4.296010247726380488e-02 8.702587740486318613e-02 6.660329867465038245e-02 2.325049204458196905e-01 1.526546882384152704e-01 2.575424505340215275e-01 4.719458431806553556e-01 1.052277016151482233e-06 4.258716992335526141e-01 2.406497663504133244e-01 1.670284684704108069e-01 2.347517639393385783e-08 7.649871377424280472e-02 5.893860307513256735e-01 2.345722771405901463e-01
