# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YPR159W_YGR143W YJL177W_YKL180W YGL133W_YPL216W YJR048W_YEL039C YBR191W_YPL079W YDR418W_YEL054C YNL049C_YIL109C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 5.550000000000000000e+02 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 7.440000000000000000e+02 8.310000000000000000e+02 4.260000000000000000e+02 2.007000000000000000e+03 5.490000000000000000e+02 2.862000000000000000e+03 3.240000000000000000e+02 4.770000000000000000e+02 4.890000000000000000e+02 2.502000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 4.080000000000000000e+02 3.387000000000000000e+03 2.511000000000000000e+03 1.119000000000000000e+03 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.273888496758636848e+03 -1.327880762666495684e+03 -6.720679308368467900e+03 -2.254783203007476004e+03 -6.665860106970442757e+03 -3.730046273041808490e+03 -8.086080487304779126e+03 -2.461871390488749057e+03 -1.363470215138290587e+04 -7.502749912473938821e+03 -1.058955275734889074e+04 -4.119589918857360317e+03 -7.499436248586618603e+03 -3.188783967001097153e+03 -1.592970373974310496e+04 -1.963226835799182936e+03 -3.008152306441062683e+04 -2.142239055519238718e+03 -1.566814160622516283e+03 -1.882023548664445116e+03 -2.108961912415148981e+04 -6.627567265757046698e+03 -8.033420768455631332e+03 -1.478592015191543624e+03 -2.172913786895565863e+04 -2.377402506623612862e+04 -9.655404082292774547e+03 -2.126928692222737027e+03 -1.995732069011193380e+04 -9.236745234024430829e+03
2.995112302853826236e-01 3.119709363328885265e-01 2.460829628768547439e-01 2.690843681310761126e-01 2.674587245715957518e-01 3.210920966486527361e-01 2.606194207253937911e-01 2.699547097117325767e-01 2.837006012714097802e-01 2.902308637494656618e-01 2.666509590828787246e-01 2.698133309148435521e-01 2.879143208915410090e-01 3.245429091868980431e-01 2.835326115076119424e-01 2.926186604291690085e-01 3.385826365912141256e-01 3.085112883928201044e-01 2.847373978668108485e-01 2.826411047014927846e-01 2.970527876321372718e-01 3.234913107876631888e-01 2.913197814095798144e-01 2.367573655482952399e-01 2.564589691086024414e-01 3.130810026616710484e-01 2.645971468935269244e-01 2.763234555091558242e-01 3.174422683403270162e-01 2.660371653724140084e-01
2.054651683080961355e-01 2.642836846028127074e-01 2.469888129394620657e-01 2.396486980443076065e-01 2.405888774166808353e-01 2.328688216814064904e-01 1.889517689308028436e-01 2.302450233842211202e-01 2.458997332511337064e-01 2.302226648506739415e-01 2.221097938280806872e-01 2.540614912587341734e-01 2.140801673361666102e-01 2.453056466703104066e-01 2.347928831482451462e-01 2.567128081813122575e-01 1.899598169716636697e-01 2.232321429256045875e-01 2.372685037848342449e-01 2.410253160546461937e-01 2.238352136026173222e-01 2.197539132421052754e-01 2.005885299158334245e-01 2.216678354856138622e-01 2.414131866393664783e-01 2.149382026866297202e-01 2.355128110534089048e-01 2.393686989182595148e-01 2.033138166896954202e-01 2.066706711213174286e-01
1.991874401587060417e-01 1.794656696890750414e-01 2.033222195247305353e-01 2.058637804173599761e-01 2.181663125986338658e-01 1.905460766483420276e-01 2.066767363420971282e-01 2.030165337986863106e-01 1.931700746800204538e-01 1.946303011179932596e-01 2.214213315859841213e-01 1.808141621271676103e-01 2.108217189719274742e-01 1.847896086844473262e-01 1.929338350444795569e-01 1.812580208397872872e-01 1.926911759712978955e-01 2.063721246271479903e-01 1.888427153301751871e-01 1.824265630091705392e-01 1.841064354086433541e-01 2.052788748914433914e-01 2.190830575533476987e-01 2.227232124055024132e-01 2.128946245510727198e-01 1.846167583383423183e-01 1.997911991086383787e-01 2.090416573243872034e-01 1.993061716028854680e-01 1.988905328287321195e-01
2.958361612478151437e-01 2.442797093752238080e-01 3.036060046589526551e-01 2.854031534072562493e-01 2.737860854130895194e-01 2.554930050215987181e-01 3.437520740017062093e-01 2.967837331053599925e-01 2.772295907974360318e-01 2.849161702818671649e-01 2.898179155030564669e-01 2.953110156992547197e-01 2.871837928003649343e-01 2.453618354583441963e-01 2.887406702996634378e-01 2.694105105497314190e-01 2.787663704658243091e-01 2.618844440544273455e-01 2.891513830181796640e-01 2.939070162346904547e-01 2.950055633566020519e-01 2.514759010787880888e-01 2.890086311212390902e-01 3.188515865605885402e-01 2.892332197009584438e-01 2.873640363133569964e-01 3.000988429444257921e-01 2.752661882481974853e-01 2.799377433670920956e-01 3.284016306775365268e-01
1.043122708450484204e+01 9.908723871487687518e+00 6.147502262539781270e+00 7.591734452577247438e+00 5.083820128302039443e+00 4.118584736148792835e+00 3.415006168663079045e+00 7.508182856959378704e+00 3.620602283404747990e+00 4.461722049084039021e+00 3.320215414458039582e+00 8.472708985867887677e+00 3.556843610639258024e+00 4.242164916482214387e+00 3.574074502976516854e+00 8.941414577087016369e+00 3.508153309020074051e+00 4.695213259726905619e+00 1.184564262127111256e+01 1.185713406851198926e+01 3.663011511941380860e+00 4.586473869154076510e+00 3.554561082779430059e+00 1.112512905008338748e+01 5.049035522540529897e+00 3.590350502446389758e+00 3.416340012383243696e+00 8.830302836673217470e+00 3.082756597119718833e+00 3.575466679047629714e+00
7.623777886025335349e+00 6.744765427425550186e+00 2.674245146621546887e+00 9.968165104775373209e+00 1.609364436299892898e+00 8.699024370330120659e-01 3.802387428784911316e-01 4.137946478000137596e+00 2.321602479288707721e-01 5.411755344162044734e-01 4.733106461795137387e-01 3.447984612678704153e+00 3.601735777208078249e-01 4.470390680480544887e-01 1.034064864884359336e+00 8.933699240492474658e+00 7.221143860972728534e-02 2.133668914401395167e+00 1.526121338561023144e+01 7.652718314868259597e+00 4.799278913710689487e-01 9.821754303483918314e-01 2.001177230820693487e-01 1.349403667068414592e+01 4.078700398578420483e+00 2.686102078245566349e-01 5.397767104337096722e-01 1.626005956440369360e+01 1.583838258435507074e-01 1.172429473341655010e-01
2.628484814157994870e-02 1.808672686525201329e-02 5.019807670030499575e-02 1.803180404382065741e-02 4.641434123495792596e-02 7.387544822378082354e-02 5.529624133728939378e-02 2.956466016719500392e-02 1.752525601964731450e-02 7.013955894333714913e-02 4.163179829305798524e-02 4.801945122482562112e-02 4.921868448003661328e-02 1.489794383926320610e-02 6.684120885981850724e-02 1.864435198278039871e-02 1.021686285881797107e-01 2.378705692309769984e-02 1.783701703938929753e-02 2.176997719160751743e-02 6.361170443098178306e-02 6.688052961684914921e-02 4.419461606443735036e-02 2.451802528412476423e-02 6.277456787746364675e-02 7.648432509079991504e-02 6.216556292409223389e-02 2.694386775534545961e-02 6.314578649553041767e-02 1.023912667672497306e-01
7.306985733743572020e-02 6.589682379325599582e-02 1.500181969231650647e-01 7.146913238404077606e-02 1.967600342055852991e-01 3.106502294244219975e-01 4.045127134607071628e-01 9.269879355033608381e-02 4.278359692868575204e-01 2.579537117759495568e-01 3.538911386834606154e-01 1.488825836437683847e-01 3.881908148825206628e-01 2.441076352245932779e-01 2.898533352425655685e-01 7.038014370636443140e-02 5.344761936629276455e-01 1.865843677881670604e-01 5.527960295820064096e-02 7.792995755852184792e-02 3.387063931935367367e-01 2.927848363201137616e-01 5.024621828514913568e-01 6.780740993108018422e-02 1.795868321006444668e-01 5.101283598592251112e-01 3.224762658146236860e-01 7.040274625698943189e-02 5.420794888233591013e-01 4.578980106620643142e-01
2.174991780154321083e-02 2.401715663055017935e-02 4.091035968794654032e-02 2.202583844621057094e-02 7.257343445678574034e-02 1.526987113096195392e-01 2.568677530100185180e-01 3.845620302320701400e-02 3.076714656018672556e-01 1.089243292892047993e-01 2.132551075722023681e-01 5.426840826432080545e-02 2.295308006842947113e-01 1.604918809655169476e-01 1.379743797889720347e-01 3.438407665437085564e-02 2.704568807578047740e-01 1.065081582864981086e-01 2.066537127573248381e-02 3.495912295008985621e-02 1.839967852693253081e-01 1.494442403526531626e-01 3.303843241815269671e-01 2.059225842661241423e-02 4.927403999354215691e-02 3.241027577882394928e-01 1.576497642919505171e-01 1.854575039464037914e-02 3.382739555701221312e-01 2.385439250669885713e-01
4.678500919585576456e-02 4.781009692800398253e-02 9.982012022286008979e-02 5.343732834022010825e-02 1.503456929706273870e-01 2.367747812006411323e-01 3.492164721234177760e-01 6.313413338314106948e-02 4.103107132672101920e-01 1.878141528326124077e-01 3.122593403904026510e-01 1.008631324189427497e-01 3.389721304024840842e-01 2.292096913853300666e-01 2.230121263827470890e-01 5.173579172358403616e-02 4.323075650747479348e-01 1.627973108650693501e-01 3.744258591881133996e-02 5.615998036691433742e-02 2.750946887625549397e-01 2.259043067032645846e-01 4.582675667870539926e-01 4.328938464695541305e-02 1.168122642231808062e-01 4.336440347684252239e-01 2.603107028905314868e-01 4.345887850164396188e-02 4.702013560008824755e-01 3.555067438948145697e-01
5.891091056821573697e-03 5.734157478715675750e-03 9.048827302027212874e-03 3.048643338617873944e-03 1.262275120713130666e-02 1.012152480378361238e-02 1.367190912122996996e-02 5.539508751975828239e-03 1.455736847288689045e-02 9.831067856917313774e-03 1.234475099934813531e-02 7.845691664114477076e-03 1.631703417268202949e-02 5.988040994724007186e-03 1.557533143255262001e-02 2.762506309960758959e-03 2.058139199573953693e-02 7.573317019464630845e-03 1.250495065351870522e-03 1.389700720113879774e-03 6.989529468590823663e-03 1.246546474266813434e-02 1.002728752793802941e-02 5.664668355658025040e-03 8.363892303080051882e-03 1.657261722538283868e-02 1.838819960174172333e-02 5.416861343742813972e-03 2.136038100556227060e-02 2.249415016208742776e-02
2.503509139431255026e-02 2.379294029745379277e-02 5.890976053491354253e-02 3.141148989400954772e-02 7.777225851384167443e-02 8.407606989102164863e-02 9.234871911339924411e-02 2.467793035993408324e-02 1.026392476653428948e-01 7.888982354340762226e-02 9.900423281820028287e-02 4.659472415462194428e-02 1.094413297181893174e-01 6.871781041981311899e-02 8.503774659377504042e-02 1.735171506921319093e-02 1.618506843169431331e-01 5.628915257857124155e-02 1.677721464307886309e-02 2.120085741682447428e-02 9.109790349322961778e-02 7.646006635061144974e-02 1.278832426055270810e-01 2.269712622034299881e-02 6.753822422963866312e-02 1.095412769801857866e-01 1.026609385985809419e-01 2.491312810700358621e-02 1.319274004307603443e-01 1.169628188278259984e-01
3.369997668343668179e-03 4.699252881465124966e-03 1.175960085972993334e-02 7.808221612016080782e-03 1.931589825340752561e-02 1.923214704592709004e-02 1.470927111079009704e-02 2.757578495629642041e-03 2.316993696720733714e-02 1.415633873638214892e-02 2.117758081068938161e-02 7.103146615641377573e-03 2.665166883857467139e-02 7.548523985377040939e-03 1.567585850226762764e-02 4.347351555182917167e-03 3.282030530121500533e-02 7.083342352220121409e-03 4.046803694844737162e-03 5.479837449835048974e-03 2.451179380525651125e-02 1.368471411815082132e-02 2.805050429368224907e-02 4.414420324754105181e-03 1.489184079566993266e-02 1.915773042276953594e-02 1.508897612078228742e-02 5.753883382885337586e-03 2.195072586407823337e-02 2.320545707767804333e-02
1.914400033749098090e-02 1.805878281873812483e-02 4.986093323288633139e-02 2.836284655539167421e-02 6.514950730671033308e-02 7.395454508723801890e-02 7.867680999216927762e-02 1.913842160795824546e-02 8.808187919245601127e-02 6.905875568649029461e-02 8.665948181885213542e-02 3.874903249050747067e-02 9.312429554550727406e-02 6.272976942508910747e-02 6.946241516122241000e-02 1.458920875925242590e-02 1.412692923212035823e-01 4.871583555910661417e-02 1.552671957772698390e-02 1.981115669671059537e-02 8.410837402463877677e-02 6.399460160794331887e-02 1.178559550775890447e-01 1.703245786468497378e-02 5.917433192655861818e-02 9.296865975480292366e-02 8.427273899683923597e-02 1.949626676326077918e-02 1.105670194251981014e-01 9.446866866573859489e-02
