# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YPR157W_YGR141W YBR024W_YBR037C YPL037C_YDR252W YPR159W_YGR143W YGL133W_YPL216W YBR191W_YPL079W YNL049C_YIL109C YPL232W_YMR183C YLR284C_YOR180C YIR033W_YKL020C YMR243C_YOR316C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
3.360000000000000000e+02 3.540000000000000000e+02 1.143000000000000000e+03 9.540000000000000000e+02 4.650000000000000000e+02 9.180000000000000000e+02 5.910000000000000000e+02 1.494000000000000000e+03 9.930000000000000000e+02 1.209000000000000000e+03 8.310000000000000000e+02 4.260000000000000000e+02 2.007000000000000000e+03 2.862000000000000000e+03 4.770000000000000000e+02 2.502000000000000000e+03 8.640000000000000000e+02 8.040000000000000000e+02 2.511000000000000000e+03 1.119000000000000000e+03 5.940000000000000000e+02 1.965000000000000000e+03 9.930000000000000000e+02
-1.319559107979222063e+03 -1.375134125464476710e+03 -6.890253392884165805e+03 -6.811066687603224636e+03 -3.771152991773979920e+03 -8.125668809247457830e+03 -2.539561871044052168e+03 -1.366885109536206255e+04 -7.543316537219515340e+03 -1.065327976475928881e+04 -7.531539390518590153e+03 -3.203986628482776268e+03 -1.616157899423315757e+04 -3.009302643655681459e+04 -1.685995465226783608e+03 -2.121115935905300648e+04 -6.719931456090182110e+03 -8.051198460373082526e+03 -2.385074820922465369e+04 -9.722114116506385471e+03 -3.869842364850470040e+04 -1.998394874224071100e+04 -9.243833282658175449e+03
2.928831089979150870e-01 3.005216269876080926e-01 2.360451900670490488e-01 2.650828892323466301e-01 3.191893390012796039e-01 2.608964467732709513e-01 2.681912756154427591e-01 2.829263482176596622e-01 2.880783206953930753e-01 2.672801371716449492e-01 2.866785116294404134e-01 3.208202265151990917e-01 2.823078480885845565e-01 3.388077233850456116e-01 2.815659511580035357e-01 2.971256793578381239e-01 3.162188447554513671e-01 2.915153186855481970e-01 3.130852729993824912e-01 2.661371395517214133e-01 5.826674824408760813e-26 3.162267026376857637e-01 2.664376156722625399e-01
2.044573718383066452e-01 2.775525003076628749e-01 2.495591246658439288e-01 2.432103866297682937e-01 2.348109894089010219e-01 1.890363847700908817e-01 2.298803765911995867e-01 2.473942076876003426e-01 2.300741167623469863e-01 2.226665004663002656e-01 2.151379369486862703e-01 2.480996836366981262e-01 2.363808717917885160e-01 1.901158478851684708e-01 2.445969115872969057e-01 2.245299005343788235e-01 2.269252925120766873e-01 2.017489610120697663e-01 2.158540024050253914e-01 2.346182267784814590e-01 3.464368789322383457e-01 2.035611032432594614e-01 2.065715426899456530e-01
1.964661268953204198e-01 1.678723004349935710e-01 1.938770910394917446e-01 2.156851327837237819e-01 1.848408248349333871e-01 2.058151229811983618e-01 1.953683307897294275e-01 1.913629636524145639e-01 1.925878029585992857e-01 2.189983984447346765e-01 2.099398952459166912e-01 1.826481656993646507e-01 1.900500588313021877e-01 1.924360567823999169e-01 1.718836448598248245e-01 1.817531602973017357e-01 2.009330414081149929e-01 2.171257497913988144e-01 1.831126136955254224e-01 1.977436664013721146e-01 5.302105576360614400e-24 1.994601611962898147e-01 1.987771009448343063e-01
3.061933922684579312e-01 2.540535722697354615e-01 3.205185942276151945e-01 2.760215913541613220e-01 2.611588467548859871e-01 3.442520454754398607e-01 3.065600170036282823e-01 2.783164804423254868e-01 2.892597595836605695e-01 2.910549639173200531e-01 2.882436561759565419e-01 2.484319241487381313e-01 2.912612212883248231e-01 2.786403719473859453e-01 3.019534923948746785e-01 2.965912598104812892e-01 2.559228213243570083e-01 2.896099705109831945e-01 2.879481109000666672e-01 3.015009672684250130e-01 6.535631210677617098e-01 2.807520329227650158e-01 3.282137406929576118e-01
1.105143675218885235e+01 1.208633191768297266e+01 6.990617352841131726e+00 5.019945937337310760e+00 4.164199660469857456e+00 3.383024894950345196e+00 7.051530745496641828e+00 3.594815286115922603e+00 4.555648606285243041e+00 3.288979672968478596e+00 3.574388884114652498e+00 4.241609720161044095e+00 3.571295724265100446e+00 3.464392575026936871e+00 1.336763431917030687e+01 3.692262463629358837e+00 4.793549081245811472e+00 3.481218040914005218e+00 3.536675230716088691e+00 3.380590663374531957e+00 5.349422956733909551e+00 3.030473022528154647e+00 3.530831948127350017e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.595500675364286865e-03 3.904919040788391079e-03 1.825855740154289780e-02 1.429300107920758456e-02 2.358837987212991302e-02 2.609995371158625732e-02 1.084624658091235677e-02 5.701053747068122839e-03 4.847536232361826514e-02 1.178026104563591192e-02 2.417504113050125344e-02 5.530874522439806554e-03 1.694910932430583259e-02 8.965665414238058184e-02 1.724068116437369553e-03 3.841567710941128783e-02 2.445646885140954560e-02 1.869796252544724674e-02 4.138467026583903668e-02 3.335967760409826177e-02 0.000000000000000000e+00 3.095416755495621758e-02 8.858280171640330047e-02
8.670231353367367777e-02 6.735085797070564095e-02 1.480685510125005766e-01 1.937705910374355467e-01 3.391037417066227189e-01 3.951416698229639479e-01 9.125058226870863543e-02 4.241335603184690495e-01 2.558529431963998957e-01 3.459244483776459100e-01 3.826272151847325831e-01 2.447684454433551315e-01 3.084033707223856613e-01 5.286520062056191405e-01 5.938913006162253178e-02 3.334258169157227059e-01 2.848168395598972280e-01 4.920435147595982328e-01 4.937142292593399429e-01 3.151572480203100324e-01 1.928969096149673748e-11 5.830139717118565379e-01 4.529967164279011804e-01
